100|sit|sat|sat|sedersi
101|sleep|slept|slept|dormire
102|slide|slid|slid|scivolare
103|smell|smelt|smelt|odorare
104|sow|sowed|sown|seminare
105|speak|spoke|spoken|parlare
106|spell|spelled,spelt|spelled,spelt|compitare,sillabare
107|spend|spent|spent|spendere
108|spill|spilt|spilt|versare
109|split|split|split|spaccare,dividere
110|spoil|spoilt|spoilt|rovinare,viziare
111|spread|spread|spread|diffondere
112|spring|sprang|sprung|scattare
113|stand|stood|stood|alzarsi
114|steal|stole|stolen|rubare
115|stick|stuck|stuck|incollare
116|sting|stung|stung|pungere
117|strike|struck|struck|colpire,battere
118|string|strung|strung|appendere
119|swear|swore|sworn|giurare
120|sweep|swept|swept|spazzare
121|swell|swelled|swollen|gonfiare
122|swim|swam|swum|nuotare
123|swing|swung|swung|dondolare, oscillare
124|take|took|taken|prendere
125|teach|taught|taught|insegnare
126|tear|tore|torn|strappare
136|wind|wound|wound|avvolgere,serpeggiare

